id_seq,sample_type,observer,location,time,sponge_type,over100,reads_persample,counts_persample,x_persample
sample.KM_C_PURPLE3,sponge,NA,Korakonissi,Morning,Purple,y,4272,NA,4272
sample.KM_B_unkown4,sponge,NA,Korakonissi,Morning,Unknown,y,2125,NA,2125
DM_A_Stefano,UVC,Stefano,Dafni Beach,Morning,UVC,NA,NA,125,125
DM_B_Stefano,UVC,Stefano,Dafni Beach,Morning,UVC,NA,NA,168,168
DM_C_Stefano,UVC,Stefano,Dafni Beach,Morning,UVC,NA,NA,103,103
DE_A_Stefano,UVC,Stefano,Dafni Beach,Evening,UVC,NA,NA,88,88
DE_B_Stefano,UVC,Stefano,Dafni Beach,Evening,UVC,NA,NA,99,99
DE_C_Stefano,UVC,Stefano,Dafni Beach,Evening,UVC,NA,NA,75,75
KM_A_Stefano,UVC,Stefano,Korakonissi,Morning,UVC,NA,NA,181,181
KM_B_Stefano,UVC,Stefano,Korakonissi,Morning,UVC,NA,NA,128,128
KM_C_Stefano,UVC,Stefano,Korakonissi,Morning,UVC,NA,NA,117,117
KE_A_Stefano,UVC,Stefano,Korakonissi,Evening,UVC,NA,NA,141,141
KE_B_Stefano,UVC,Stefano,Korakonissi,Evening,UVC,NA,NA,118,118
KE_C_Stefano,UVC,Stefano,Korakonissi,Evening,UVC,NA,NA,123,123
DM_A_Charis,UVC,Charis,Dafni Beach,Morning,UVC,NA,NA,82,82
DM_B_Charis,UVC,Charis,Dafni Beach,Morning,UVC,NA,NA,85,85
DM_C_Charis,UVC,Charis,Dafni Beach,Morning,UVC,NA,NA,70,70
DE_A_Charis,UVC,Charis,Dafni Beach,Evening,UVC,NA,NA,32,32
DE_B_Charis,UVC,Charis,Dafni Beach,Evening,UVC,NA,NA,33,33
DE_C_Charis,UVC,Charis,Dafni Beach,Evening,UVC,NA,NA,84,84
KM_A_Charis,UVC,Charis,Korakonissi,Morning,UVC,NA,NA,108,108
KM_B_Charis,UVC,Charis,Korakonissi,Morning,UVC,NA,NA,91,91
KM_C_Charis,UVC,Charis,Korakonissi,Morning,UVC,NA,NA,76,76
KE_A_Charis,UVC,Charis,Korakonissi,Evening,UVC,NA,NA,92,92
KE_B_Charis,UVC,Charis,Korakonissi,Evening,UVC,NA,NA,93,93
KE_C_Charis,UVC,Charis,Korakonissi,Evening,UVC,NA,NA,93,93
